# temperature	SE	SE+SE
0.000000E+00	7.176520E-07	1.499641E-03
2.000000E+00	8.921452E-07	1.499554E-03
4.000000E+00	1.108686E-06	1.499446E-03
6.000000E+00	1.377889E-06	1.499311E-03
8.000000E+00	1.713328E-06	1.499143E-03
1.000000E+01	2.132435E-06	1.498934E-03
1.200000E+01	2.657695E-06	1.498671E-03
1.400000E+01	3.318209E-06	1.498341E-03
1.600000E+01	4.151732E-06	1.497924E-03
1.800000E+01	5.207334E-06	1.497396E-03
2.000000E+01	6.548831E-06	1.496726E-03
2.200000E+01	8.259198E-06	1.495870E-03
2.400000E+01	1.044619E-05	1.494777E-03
2.600000E+01	1.324941E-05	1.493375E-03
2.800000E+01	1.684920E-05	1.491575E-03
3.000000E+01	2.147751E-05	1.489261E-03
3.200000E+01	2.743109E-05	1.486284E-03
3.400000E+01	3.508718E-05	1.482456E-03
3.600000E+01	4.492165E-05	1.477539E-03
3.800000E+01	5.752924E-05	1.471235E-03
4.000000E+01	7.364512E-05	1.463177E-03
4.200000E+01	9.416600E-05	1.452917E-03
4.400000E+01	1.201682E-04	1.439916E-03
4.600000E+01	1.529182E-04	1.423541E-03
4.800000E+01	1.938700E-04	1.403065E-03
5.000000E+01	2.446398E-04	1.377680E-03
5.200000E+01	3.069498E-04	1.346525E-03
5.400000E+01	3.825279E-04	1.308736E-03
5.600000E+01	4.729543E-04	1.263523E-03
5.800000E+01	5.794500E-04	1.210275E-03
6.000000E+01	7.026138E-04	1.148693E-03
6.200000E+01	8.421319E-04	1.078934E-03
6.400000E+01	9.965127E-04	1.001744E-03
6.600000E+01	1.162919E-03	9.185404E-04
6.800000E+01	1.337189E-03	8.314055E-04
7.000000E+01	1.514113E-03	7.429437E-04
7.200000E+01	1.687975E-03	6.560125E-04
7.400000E+01	1.853278E-03	5.733612E-04
7.600000E+01	2.005461E-03	4.972693E-04
7.800000E+01	2.141429E-03	4.292854E-04
8.000000E+01	2.259732E-03	3.701341E-04
8.200000E+01	2.360417E-03	3.197917E-04
8.400000E+01	2.444646E-03	2.776772E-04
8.600000E+01	2.514245E-03	2.428775E-04
8.800000E+01	2.571306E-03	2.143470E-04
9.000000E+01	2.617898E-03	1.910510E-04
9.200000E+01	2.655903E-03	1.720485E-04
9.400000E+01	2.686941E-03	1.565296E-04
9.600000E+01	2.712357E-03	1.438216E-04
9.800000E+01	2.733243E-03	1.333787E-04
